tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,perfil,Previsao_Fraude_RF
2 meses atrás,1,"Passei por uma situação bem desagradável no local. Ouvi um funcionário, acredito que era o gerente, reclamando sobre seus clientes.  O lugar estava lotado aquele dia e ele estava falando com outras duas clientes sobre dois clientes que pediram apenas café e ficaram lá por 1h30 sem consumir mais nada, o relato seguiu, e ele reclamou de um outro cliente falando “ele pediu apenas uma fatia de bolo, então colocamos um garfo só, e depois ele estava invadindo atrás do balcão para pegar outro garfo.” Pois bem, esse cliente em questão é meu pai. Já frequentei algumas vezes o lugar e sugeri que fôssemos tomar um café e comer uma sobremesa lá. Pedimos apenas um pedaço de bolo pois o pedaço é grande e íamos dividir (Normalmente os restaurantes já mandam dois garfos quando uma mesa de duas pessoas pede apenas uma sobremesa, mas isso não foi um problema para gente) O local como eu disse, estava lotado esse dia. Os atendentes estavam bem confusos e demorados, anotaram nosso pedido duas vezes pois não tinham lançado no sistema, e na hora de pagar o garçom falou que tbm não tinha sido lançado. Quando veio a sobremesa já imaginamos que pedir outro garfo iria levar tempo, então meu pai, seu cliente, se dispôs a ele mesmo levantar e ir até o balcão para resolver logo. Ele nao “invadiu o balcão”, ele ficou ao lado da entrada, pois novamente, o local estava lotado, tinha fila para pagar em frente a essa balcão, e pessoas em pé esperando uma mesa.  Foi bem constrangedor ouvir esse tipo de comentário, ainda mais quando o cliente apenas quis evitar dar mais trabalho a um lugar que já estava com o atendimento confuso.  Sugiro que o gerente tenha mais respeito ao seus clientes e ao invés de reclamar em pleno salão, faça isso em um lugar privado, ou até mesmo que dedique esse tempo a verificar o que seus clientes precisam.  Não comentei nada na hora pois meu pai não escutou e eu quis evitar esse aborrecimento a ele, mas já que ouvi reclamações sobre nós em pleno salão espero que entendam levar uma reclamação aqui também.",False,3,1,1,0,0,14,4,0,0,0,1,0,,0
2 meses atrás,5,"Um excelente lugar para tomar brunch, doces maravilhosos e ainda Pet friendly.",False,4,0,0,0,0,7,0,0,0,0,1,0,,1
2 meses atrás,5,"Melhor confeitaria de sp, tudo impecável",False,2,7,571,0,0,19,0,0,0,0,0,0,,0
2 meses atrás,1,"Fui hoje na hora do almoço e tive uma péssima experiência. Tinha apenas um garçom atendendo a mesa ao lado, e além da nossa, outras mesas querendo atendimento. O garçom, foi atencioso conosco para avisar,  chamava reforço várias vezes e ninguém aparecia. Uma falta de respeito com os clientes e com o garçom que estava lá sozinho e gente atrás da bancadinha nem aí.",False,4,2,0,0,0,5,0,0,0,0,0,0,,1
2 meses atrás,5,"Ambiente simpático, atendimento muito gentil do Bruno. Pedi um cappuccino tradicional, encorpado e bem dosado. O bolinho de coco é uma delícia, gostinho de bolo de vovó. Recomendo!",True,35,10,3,0,0,84,0,0,0,0,0,0,,0
2 meses atrás,2,"Comi uma torta de três mouses, que custou quase trinta reais - já me assustei na hora. Não estava fresca, tinha uma camada que parecia gelatina em cima pq já estava “velha” para consumo. Sabor médio para ruim. Não valeu nada a pena.",False,3,1,1,0,0,14,0,0,0,0,0,0,,1
2 meses atrás,5,null,True,79,89,34,0,1,1100,4,0,0,0,52,0,,0
2 meses atrás,2,"Fui até a casa de bolos durante a semana, para comprar bolo,quando cheguei já havia uma moça sendo atendida, enquanto atendida à moça,um rapaz perguntou qual meu pedido... informei e ele falou q já iria providenciar. Finalizou o atendimento  e foi fazer outras coisas, no balcão havia ele e uma moça com cabelo black , fiquei um tempo  esperando, então ele repassou p a moça p prosseguir meu pedido, senti uma diferença no atendimento q vi inicialmente quando cheguei da moça q já estava lá, creio q o fato de estar d uniforme levou a isso, é inadmissível em tempo d inclusão atitudes assim,sou uma cliente como outro qualquer. Além da demora p atender ( quem for em horário d almoço cuidado) , e atendimento não é acolhedor. A qualidade do bolo e maravilhosa, mas fiquei triste e constragida com o atendimento seletivo.",False,8,0,0,0,0,8,0,0,0,0,0,0,,0
2 meses atrás,5,"O atendente muito simpático, e os doces são uma delícia. Ambiente aconchegante, organizado e ótimo para fotos!",True,6,3,0,0,0,20,0,0,0,0,0,0,,1
3 meses atrás,5,"Reservei o espaço para comemorar meu aniversário com um brunch e adorei! Atendimento excelente, eles são super atenciosos, fora a comida que é surreal de boa. Eu e minhas convidadas ficamos encantadas e já estamos marcando de voltar outra vez!!! Recomendo muito",False,1,1,4,0,0,7,0,0,0,0,0,0,,1
3 meses atrás,5,null,False,2,1,0,0,0,5,0,0,0,0,0,0,,1
3 meses atrás,4,"Amei conhecer a Cakess!  Pedi um bolo de chocolate e um capuccino. Estavam bem gostosos.  Tenho só alguns pontos a destacar: fui muito bem atendida pelo Bruno, mas só vi ele de garçom ali e a casa estava cheia. Várias mesas chamavam ao mesmo tempo e era visivelmente impossível atender todo mundo.  Meu pedido veio atrasado e tive que pedir guardanapos. Vi outras mesas pedindo também. Achei uma experiência um pouco chata, mas como gostei da comida e da simpatia do atendente, quero retornar e dar uma segunda chance ao lugar.",True,35,2,153,2,0,248,0,0,0,0,0,0,,0
3 meses atrás,5,"Um lugar super tranquilo pra ficar em casal, amigos e tomar um belo café. Comprei um bolo de pistache, e estava saboroso demais, perfeito. Além do café de nutella que estava mil maravilhas. E sem falar do atendimento, que é sem igual.",True,11,1,0,0,0,24,0,0,0,0,0,0,,1
3 meses atrás,5,null,False,0,1,1,0,0,0,0,0,0,0,0,0,,1
3 meses atrás,5,Uma experiência em um milhão. Uma equipe muito bem preparada e organizada! Pretendo vir muitas vezes❤️❤️❤️,False,5,7,0,0,0,24,0,0,0,0,1,0,,1
3 meses atrás,5,null,False,1,1,0,0,0,15,0,0,0,0,0,0,,1
3 meses atrás,3,"Comidas maravilhosas e ambiente bem aconchegante. Tem espaço para pet, onde fiquei. Pena que o atendimento é péssimo!. Fui por volta do meio dia e só tinha uma funcionária dentro de uma salinha entregando sacola com pedido pra motoqueiro. Mal aparecia para atender as mesas e muita mesa querendo atendimento e ninguém alí. Ou tive má sorte de pegar dia de folga de alguém ou vocs precisam contratar mais. Estava lotado e sem ninguém pra atender.  Fica a dica aí.",False,4,0,0,0,0,3,0,0,0,0,0,0,,1
3 meses atrás,5,"Fazia tempo que eu não ia na Cakess. Sinceramente, o atendimento me incomodava um pouco, mas tudo sempre foi muito delicioso e continua sendo. Para minha surpresa, fui nesta semana e fiquei embaixo achando que seria menos lotado, mas acabou que lotou. Desta vez fui muito bem atendido pelo Bruno. Muito simpático, engraçado, atencioso. Não só comigo, mas com todos em todas as mesas. Dava atenção a todos, sempre limpando de tempos em tempos as mesas e isso que é um ótimo atendimento. Desculpe o textão. hahahaha Mas como trabalho com comércio presto muita atenção em tudo. Agora voltarei com mais frequência.",False,5,1,0,0,0,11,1,0,0,0,0,0,,0
3 meses atrás,5,Muito bom. Bombom de morango excelente.,True,192,13,469,4,0,448,0,0,0,0,0,1,,0
3 meses atrás,5,Paquerei muito a loja pelo insta e acabei indo visitar pela primeira vez nesse último sábado. Tudo que pedi com minha amigs estava maravilhoso e fomos super bem atendidas pelo mocinho de barbinha (acho que Bruno) muito atencioso!,True,4,7,0,0,0,8,0,0,0,0,0,0,,1
3 meses atrás,5,Ambiente muito bom! Bolos maravilhosos! IG @quel.dornb,True,186,1,363,2,3,412,0,0,0,0,0,7,,0
3 meses atrás,5,Ótimo! Compramos nossos bolos e doces para festas lá.,False,6,5,0,0,0,3,0,0,0,0,0,0,,1
3 meses atrás,5,Ambiente muito agradável e o cardápio é maravilhoso!,False,3,0,0,0,0,7,0,0,0,0,0,0,,1
3 meses atrás,2,"Achei péssimo não poder fazer croque madame ou monsieur sem o presunto. Único lugar de São Paulo que eu vi recusarem essa opção.  O que deixa o cardápio vegetariano super limitado. Se resumindo  basicamente a toasts superfaturados e ovos. Os demais pratos no geral são bons, mas nada extraordinário , de modo que o preço alto não compensa. A sobremesa especial da casa eu achei ruim, fortemente NÃO recomendo. O café Nutelludo é gostoso porque realmente tem muito Nutella. O ponto alto é o bolo Crocante, que de fato é incrível. Quanto a impossibilidade de tirar o presunto de alguns pratos, por favor repensem.",True,156,11,107,26,0,720,3,0,2,0,0,0,,0
3 meses atrás,5,null,False,4,3,0,0,0,8,0,0,0,0,0,0,,1
4 meses atrás,5,"O Cakes e Doces é um verdadeiro paraíso para os amantes de sobremesas e confeitaria. Desde o momento em que você entra, é impossível não se encantar com o ambiente acolhedor e bem decorado. A loja é cuidadosamente adornada com detalhes que evocam um charme vintage, criando uma atmosfera convidativa e charmosa. O aroma irresistível de bolos recém-assados e doces artesanais imediatamente desperta o apetite e promete uma experiência gastronômica inesquecível.  O atendimento no Cakes e Doces é exemplar. A equipe é extremamente atenciosa e amigável, sempre pronta para oferecer sugestões e garantir que cada cliente encontre a sobremesa perfeita. Os funcionários demonstram um profundo conhecimento dos produtos e são apaixonados pelo que fazem, o que se reflete na qualidade do serviço e na satisfação dos clientes.  A variedade de bolos e doces disponíveis é impressionante. Desde bolos clássicos até criações inovadoras, cada item é feito com ingredientes de alta qualidade e um toque de amor. As tortas, cupcakes, e docinhos são verdadeiras obras de arte, tanto no sabor quanto na apresentação. A confeitaria também se destaca pela atenção aos detalhes, com decorações delicadas e acabamentos impecáveis que tornam cada doce uma pequena joia.  Além das opções tradicionais, o Cakes e Doces oferece alternativas para dietas especiais, incluindo doces sem glúten e sem lactose, garantindo que todos possam desfrutar de suas delícias. A combinação de um ambiente encantador, atendimento de primeira e produtos de alta qualidade faz do Cakes e Doces um destino imperdível para qualquer pessoa que aprecie uma boa sobremesa. Cada visita é uma celebração do sabor e da arte da confeitaria, deixando os clientes sempre ansiosos para voltar.",True,156,15,400,7,0,203,0,0,0,0,3,13,,0
4 meses atrás,5,"Ambiente muito gostoso, charmoso e bem decorado. Absolutamente todos os doces que experimente até hoje, são incríveis!",True,114,0,0,0,0,335,0,0,0,0,0,0,,0
4 meses atrás,4,O basico bem feito. Nao tem como descrever a comida da cakess alem disso. E o ambiente é uma graca!,True,61,8,227,5,0,1426,0,0,0,0,0,0,,0
4 meses atrás,5,null,True,15,9,47,7,0,5,1,0,0,0,0,0,,0
4 meses atrás,5,null,True,11,11,20,0,0,67,3,0,0,0,0,0,,0
4 meses atrás,5,null,False,0,1,0,0,0,3,0,0,0,0,0,0,,1
5 meses atrás,5,"Café maravilhoso, ambiente acolhedor e um ótimo atendimento. Um ótimo café da manhã para “comemorar” com amigos e familiares. Doces maravilhosos!!!! Vale muito a pena conhecer.",True,79,25,135,0,1,156,1,0,1,0,1,0,,0
5 meses atrás,1,"Duas horas esperando um pedido pelo iFood, para cancelarem e ainda terem a cara de pau de falar que o endereço estava incompleto (não estava) e não conseguiram contato comigo (não tentaram).",True,13,5,2,0,0,153,0,0,0,0,0,0,,0
5 meses atrás,5,null,False,22,22,0,0,0,43,0,0,1,0,0,0,,0
6 meses atrás,1,"Não tem a opção dó cardápio de pão de queijo, não me deram a opção de pagar no crédito. Tive que pagar no pix",True,31,38,59,1,0,146,1,0,1,0,0,1,,0
6 meses atrás,3,"Caro, e doce com gosto de ovo...",False,2,0,0,0,0,1,0,0,0,0,0,0,,1
6 meses atrás,4,"Bem movimentado, então tem alguma demora no atendimento e na entrega… O fato de terem esquecido de lançar o café mas foi até melhor nesse caso. Para quem gosta de doces, é uma opção a se pensar",True,44,3,72,1,0,224,21,0,18,0,0,0,,0
6 meses atrás,5,Excelente em tudo que se propõe. Do brunch aos doces/bolos. Sempre dou um jeito de tomar um café aqui. Recomendo!,True,167,15,209,2,0,819,1,0,0,0,2,4,,0
6 meses atrás,4,null,True,5,10,0,0,0,36,0,0,0,0,0,0,,0
7 meses atrás,5,Um brownie delicioso numa casa espetacular do século XIX!,False,14,2,0,0,0,8,0,0,0,0,0,0,,1
7 meses atrás,5,null,False,1,1,0,0,0,3,0,0,0,0,0,0,,1
7 meses atrás,5,null,True,9,35,4,0,0,1646,25,0,6,0,0,4,,0
7 meses atrás,5,"Diferencial aqui é o ótimo atendimento. Convênio com o estacionamento na frente. Dois ambientes com iluminação confortável, música ambiente no volume certo. Vitrine com muitas opções para comer na hora. Dentro tudo é muito bonitinho. Preço compatível à experiência.",True,711,2,520,3,3,166,88,0,28,0,1,85,,0
7 meses atrás,5,"Melhores doces, frescos e de qualidade, vale muito a pena! O local é pet friendly e muito agradável",True,36,7,103,0,0,219,0,0,0,0,0,0,,0
7 meses atrás,4,null,True,68,82,14,0,0,93,6,0,4,0,12,18,,0
7 meses atrás,3,"Muito caro, mais muito mesmo , nao dão tanta tenção ,  ficam mais focados no iffood , achei bem fora da realidade os valores  , mais enfim acho que se baseiam na região.",True,636,65,846,13,0,2743,155,0,1,0,159,269,,0
7 meses atrás,4,Recomendo... Só delícias !,True,63,274,1940,140,3,2454,306,0,4,0,66,4,,0
8 meses atrás,5,null,True,2,2,0,0,0,3,0,0,0,0,0,0,,1
8 meses atrás,5,Fenomenal!,True,52,4,2,0,0,127,0,0,0,0,0,0,,0
8 meses atrás,1,"Diminuíram as fatias de bolo de 200gr pra 130-150gr e mantiveram o preço de quase 30,00 na fatia. Um absurdo. Não recomendo!",False,3,0,0,0,0,8,0,0,0,0,0,0,,1
8 meses atrás,5,"Amo muito! Lugar perfeito pra café da manhã, almoço ou café da tarde! A toast de avocado com ovo pochet é maravilhosa. Amo também o bolo de nutella crocante e o limone!!!",False,10,0,8,0,0,6,0,0,0,0,0,0,,1
8 meses atrás,5,Essa é sem dúvidas minha cafeteria/doceria preferida em São Paulo. O ambiente é super agradável e os doces são MA-RA-VI-LHO-SOS!,True,15,0,2,0,0,57,0,0,0,0,0,1,,0
9 meses atrás,5,Doceria bem bonitinha e os doces possuem uma aparência bem comestíveis!!  Como um cheesecake de frutas vermelhas bem gostoso!,True,538,29,2329,77,0,472,4,0,2,0,1,5,,0
9 meses atrás,5,Ambiente agradável; o pessoal do atendimento é sempre muito gentil e busca ser o mais rápido possível; almoço e doces deliciosos.,True,171,138,29,3,0,3147,291,0,11,0,133,23,,0
9 meses atrás,4,"Sem dúvidas um dos melhores, se não os melhores bolos, que já comi na vida. O ambiente é lindo, aconchegante, e a comida deliciosa. A única coisa que me incomodou foi a forma como eu e meu namorado fomos tratados por um dos garçons, que nos apressou, nem apresentou cardápio e quando perguntamos então o que tinha de disponível para consumir, falou com má vontade, nem apresentando as opções direito.",False,9,1,2,0,0,20,0,0,0,0,0,0,,0
9 meses atrás,5,null,False,0,1,0,0,0,7,0,0,0,0,0,0,,1
9 meses atrás,4,"Há 4 anos, quando inaugurou, os bolos eram muito bem feitos, equilibrados no açúcar, e com muito sabor. Na ultima vez que fui em janeiro /2024, achei  os bolos muito doces, nao consegui comer todas as fatias. Parece que as receitas mudaram para agradar quem gosta de sentir mais o açúcar. Em minha opinião acho que decaiu a qualidade.",True,15,0,5,0,0,21,0,0,0,0,0,0,,0
9 meses atrás,5,"Capricho e cuidado em cada detalhe, ótimo ambiente, porções muuuuuito generosas e, o principal, uma delíciaaaaaaaa!",True,72,145,152,1,1,979,0,0,1,0,2,1,,0
9 meses atrás,5,null,True,14,47,10,0,0,147,2,0,1,0,0,0,,0
9 meses atrás,5,"O local é conhecido pelos bolos, mas eles têm a  melhor panqueca americana de SP. As bebidas quentes tbm são uma delícia  Obs. Só faltou opções de bebida com leite vegetal ou desnatado para intolerantes",True,53,103,79,16,0,456,0,0,0,0,0,1,,0
9 meses atrás,5,null,False,2,3,1,0,0,8,0,0,0,0,0,0,,1
9 meses atrás,5,null,True,0,2,0,0,0,13,0,0,0,0,0,0,,1
9 meses atrás,5,null,False,1,2,0,0,0,7,0,0,0,0,0,0,,1
9 meses atrás,5,Excelentes café e bolo!,True,131,18,8,0,0,59,0,0,0,0,0,0,,0
9 meses atrás,5,null,False,0,1,0,0,0,7,0,0,0,0,0,0,,1
9 meses atrás,5,"Lugar agradável, ótima decoração. Bolos maravilhosos e deliciosos. O bolo de merengue é maravilhoso!",True,41,58,114,11,1,40,2,0,1,0,2,0,,0
9 meses atrás,5,"O melhor bolo de ganache do mundo! Ps.: o ambiente é pet friendly, fiz review do ambiente no instagram @cecitheshihtzu",True,21,19,5,0,0,155,0,0,0,0,0,0,,0
9 meses atrás,1,"A Lei 17.747/23 - que obriga bares, restaurantes, lanchonetes, padarias e estabelecimentos similares a servirem água potável filtrada gratuitamente aos clientes não está sendo cumprida neste estabelecimento.  - Os doces são excelentes.  O atendimento bom, mas eu solicitei água pois estava com sede e a atendente falou que ali não é fornecido.  O que está na Lei: Os estabelecimentos ficam obrigados a afixar, em local visível aos clientes, cartazes e cardápios informando sobre a gratuidade da água potável filtrada. Os locais que descumprirem a legislação estarão sujeitos às sanções contidas no Código de Defesa do Consumidor.",True,145,69,42,0,1,64,24,0,1,0,15,0,,0
9 meses atrás,5,"Conheço a cakess desde quando começou, adoro tudo!",True,5,5,12,0,0,42,0,0,0,0,0,0,,0
9 meses atrás,4,"Ambiente charmoso e fatias de bolo generosas, sugestão para dividir. Café bem tirado! Pedi o bolo de brigadeiro de pistache, não consegui comer tudo, achei muito doce (mas é meu paladar, tem gente que vai adorar! )",True,72,17,91,1,1,335,5,0,0,0,0,0,,0
10 meses atrás,5,"Melhor Benedict, frapê maravilhoso",False,1,3,0,0,0,9,2,0,0,0,0,0,,0
10 meses atrás,5,Tudo muito bom,False,1,1,0,0,0,9,0,0,0,0,0,0,,1
10 meses atrás,5,Bolo casadinho e capuccino deliciosos.  Ambiente bem acolhedor.,True,105,68,167,6,1,1190,0,0,0,0,0,2,,0
11 meses atrás,1,"Estava sozinho no ambiente, mesmo assim o atendimento foi péssimo. A pessoa que me ""atendeu"" não me ofereceu um cardápio e nem me recepcionou, ficou me olhando por um tempo (que pareceu infinito) até eu mencionar que queria pedir um prato que tinha visto online, que, por sua vez, não tinha mais. Ao invés de aproveitar a chance e oferecer um cardápio ou me direcionar pro cardápio online, falou algumas opções semelhantes. Pedi uma delas.  Depois de já ter falhado na recepção, a pessoa falou algo sobre o prato que eu pedi, mas pareceu forçado, pra tentar suprir a falta anterior.  Só pra constar, quando eu falo sobre recepcionar não estou esperando nada extraordinário. Não precisa estar feliz nem com vontade, bastaria algum sinal de que vai tirar o meu pedido.  O ambiente é clichê de café / doceria.  A comida estava boa, pelo menos, mas cara.",True,19,74,1,0,0,174,1,0,0,0,0,0,,0
11 meses atrás,3,"Fui cerca de três vezes na Cakess. Quando se está com um grupo, o serviço tende a ser mais rápido e atencioso. Quando se está sozinha(o), no entanto, o serviço fica mais lento e menos gentil (mesmo que a casa não esteja cheia). A comida é saborosa, mas achei o preparo inconsistente. Abaixo, estão duas fotos do mesmo prato (croque monsieur) pedido em datas diferentes. O último veio com uma grande parte queimada, além dos 45 minutos de espera. Essas “panelinhas” prateadas nas quais as comidas são servidas também são MUITO quentes e queimam as mãos com qualquer toque, o que não me foi avisado pelo staff na primeira vez em que fui.  A quem frequentar, recomendo o bombom de morango (excelente) e a soda italiana.",True,80,0,208,4,2,492,0,0,3,0,0,6,,0
11 meses atrás,5,null,True,83,58,6,0,0,446,0,0,0,0,0,1,,0
11 meses atrás,1,"Não gostei do atendimento, nem da refeição. Expectativa frustrada.",True,5,1,0,0,0,3,0,0,0,0,0,0,,1
11 meses atrás,5,Achamos esse local por acaso subindo a Avenida Angélica e fiquei surpresa.  O ambiente é super bem decorado e o bolo que provei estava super gostoso. Era um bolo gelado de coco 🥥.  Recomendo.  Os cafés que pedimos também estavam maravilhosos e muito saborosos. Fiquei contente com a experiência.,True,264,0,473,9,20,1214,2,0,2,0,0,4,,0
11 meses atrás,5,null,True,253,56,40,2,1,6338,1,0,0,0,3,24,,0
11 meses atrás,5,Delicia de lugar!,True,14,15,1,0,0,166,1,0,0,0,0,4,,0
11 meses atrás,5,"Amo tomar café lá após o almoço. O cardápio é diversificado (tem almoço, inclusive), os cafés são ótimos e super recomendo o brownie, os cookies e o bolo de cenoura vulcão com cobertura de chocolate. Além de tudo o ambiente (instagramável, tá?) e atendimento são incríveis.",False,7,1,0,0,0,8,0,0,0,0,0,0,,1
11 meses atrás,5,Excelente ambiente,False,9,1,0,0,0,22,0,0,0,0,0,0,,1
11 meses atrás,5,null,False,0,2,0,0,0,7,0,0,0,0,0,0,,1
11 meses atrás,5,null,False,8,1,0,0,0,19,0,0,0,0,0,0,,1
11 meses atrás,5,Ambiente aconchegante e comida deliciosa.,False,2,0,0,0,0,7,0,0,0,0,0,0,,1
11 meses atrás,5,"Melhor bolo da região, atendimento excepcional fora do comun, dayan é um excelente profissional!",False,1,0,1,0,0,7,0,0,0,0,0,0,,0
um ano atrás,5,"Ambiente agradavel, ótima comida e preço acessível.",False,4,2,0,0,0,5,0,0,0,0,0,1,,1
um ano atrás,5,null,False,5,2,0,0,0,7,0,0,0,0,0,0,,1
